CATEGORY,GIS_ID,OBJECTID,GLOBALID,SHAPEAREA,SHAPELEN
Secondary Street,Downtown_DesignatedStreetsPly_74,104,{CE6ADF54-7581-4DFE-9560-9EC9FB4E87C7},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_75,105,{5683D75A-BAE5-48AC-A724-2C78A77A6A72},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_76,106,{D711EFA1-B847-4074-BCEE-EC037356838E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_77,107,{4DAA2E26-8AC0-491D-8FCE-3C6653F220A0},0,0
Secondary Street,Downtown_DesignatedStreetsPly_78,108,{3FAA0204-A255-4ABB-BB57-05467C0F2F13},0,0
Secondary Street,Downtown_DesignatedStreetsPly_79,109,{D3266F80-D729-45AA-86A5-BAFC7E1EDAD9},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_80,110,{D61FDBC4-F3E4-48FD-B81B-9DE62311F890},0,0
Secondary Street,Downtown_DesignatedStreetsPly_81,111,{4E4BF697-DB1E-4589-8EFB-08856F4F28DF},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_82,112,{A05C9309-B958-42AB-9D92-8C158EB96A1D},0,0
Primary Street,Downtown_DesignatedStreetsPly_83,113,{8A42F096-30AB-4915-976E-AC2FBC5D4193},0,0
Primary Street,Downtown_DesignatedStreetsPly_84,114,{0B105D51-CFDF-4BBD-940B-6409853B92F2},0,0
Primary Street,Downtown_DesignatedStreetsPly_85,115,{1F079A77-49B5-4FE2-A79B-CE0A67C26279},0,0
Primary Street,Downtown_DesignatedStreetsPly_86,116,{1DB002CE-06F8-4367-90E4-C7B981FE302B},0,0
Primary Street,Downtown_DesignatedStreetsPly_87,117,{BF88944A-C881-4DFC-A675-988E01F02BCB},0,0
Primary Street,Downtown_DesignatedStreetsPly_88,118,{111D6CA0-2FAE-4CA3-A672-8FB6C53D4EA7},0,0
Primary Street,Downtown_DesignatedStreetsPly_89,119,{1DC3B4CB-F547-40D3-A875-A42922214A81},0,0
Primary Street,Downtown_DesignatedStreetsPly_90,120,{EA06BD8D-77A7-457F-9A55-FF030645533B},0,0
Primary Street,Downtown_DesignatedStreetsPly_91,121,{928ABAB5-FBC7-440D-B85E-06A82ACB886C},0,0
Primary Street,Downtown_DesignatedStreetsPly_92,122,{3A67A72F-91E3-4C3C-8F20-172D04AC15CF},0,0
Primary Street,Downtown_DesignatedStreetsPly_93,123,{EAA2399C-1F9D-4B70-8F38-1D17F8626A4D},0,0
Primary Street,Downtown_DesignatedStreetsPly_94,124,{3BCA4DD1-B30E-484B-98CE-99B4D73DFBE2},0,0
